W.R.Janzen(c)2020,Dec 22,F: L-dec22,,Food,Amount (g)#,Carb Factor,Carbs (g),,,
BG Target (mmol/L),=6.0,Sensitivity,=2.0,Bread,=25,=.48,=F2*G2,,,
Time,12:32 p,Carb Ratio,=6.0,125g Greek yog,=5,=1,=F3*G3,,,
BG Test (mmol/L),=8.4,Correction (U),=(B4-B2)/D2,Banana,=104,=.21,=F4*G4,,,
Meal Carbs (g),=H8,Meal Insulin (U),=B5/D3,Tbsp P butter,=2,=.5,=F5*G5,,,
Bolus Insulin (U),=D4+D5,Injected Units,10,Walnuts,=1,=1,=F6*G6,,,
,,,,Milk,=250,=0.05,=F7*G7,,,
,,,,,#wt or gC/srv,total C =,=H2+H3+H4+H5+H6+H7,,,
Unused Insulin,Table 7-5*,*Gary Scheiner,,,,,,,,
Elapsed Time,0.0 h,0.5 h,1.0 h,1.5 h,2.0 h,2.5 h,3.0 h,3.5 h,4.0 h,
R Insulin,100 %,90 %,70 %,50 %,30 %,20 %,10 %,5 %,0 %,
R Insulin (U),=10,=B12*0.9,=B12*0.7,=B12*0.5,=B12*0.3,=B12*0.2,=B12*0.1,=B12*0.05,=B12*0.0,
,^ Prev Bolus,,,,,,,,,
,,,,,,,,,,
*Think Like a Pancreas,2004 edition,,,,,,,,,
